"College Code","Name of the College/Institution","University","State","District Name","Pincode","Institute Email","Institute Type","Accreditation Type","Accreditation Valid Upto","Status"
"1045            		  View Course","ARYABHATTA KNOWLEDGE UNIVERSITY","State University","Bihar","PATNA","800001","Not Available","Government","Not Available","Not Available","Active"
"11172            		  View Course","SHARDA UNIVERSITY","SHARDA UNIVERSITY","Uttar Pradesh","Gautam Buddh Nagar","201310","registrar@sharda.ac.in","Private","NIRF","Not Available","Active"
"1122            		  View Course","DARBHANGA COLLEGE OF ENGINEERING","Aryabhatta Knowledge University, Patna/ Bihar Engineering University, Patna","Bihar","Darbhanga","846005","principal@dce-darbhanga.org","Government","Not Available","Not Available","Active"
"1130            		  View Course","DEPARTMENT OF PHYSIOTHERAPY MAGADH UNIVERSITY","Magadh University, Bodh Gaya.","Bihar","Gaya","824234","Not Available","Government","Not Available","Not Available","Active"
"1133            		  View Course","DEVELOPMENT MANAGEMENT INSTITUTE","AUTONOMOUS UNIVERSITY","Bihar","Patna","800004","Not Available","Private","Not Available","Not Available","Active"
"1169            		  View Course","GAYA COLLEGE OF ENGINEERING","Aryabhatta Knowledge University, Patna/ Bihar Engineering University, Patna","Bihar","GAYA","823003","principal@gcegaya.ac.in","Government","Not Available","Not Available","Active"
"1178            		  View Course","GOVERNMENT POLYTECHNIC GOPALGANJ","College of State Board of Technical Education, Patna","Bihar","Gopalganj","841501","Not Available","Government","Not Available","Not Available","Active"
"12113            		  View Course","GALGOTIAS UNIVERSITY","Galgotias University","Uttar Pradesh","Gautam Buddh Nagar","203201","registrar@galgotiasuniversity.edu.in","Private","NIRF","Not Available","Active"
"1248            		  View Course","JAI PRAKASH UNIVERSITY","Jai Prakash University","Bihar","Saran","841301","registrar-jpu-bih@nic.in","Government","Not Available","Not Available","Active"
"1251            		  View Course","JAMUNILAL COLLEGE","B. R. AMBEDKAR BIHAR UNIVERSITY","Bihar","Vaishali","844101","registrar@brabu.net","Government","Not Available","Not Available","Active"
"1337            		  View Course","MAGADH UNIVERSITY","MAGADH UNIVERSITY Bodh Gaya","Bihar","GAYA","824234","info@magadhuniversity.ac.in","Government","Not Available","Not Available","Active"
"1352            		  View Course","MAHATMA GANDHI CENTRAL UNIVERSITY","MAHATMA GANDHI CENTRAL UNIVERSITY","Bihar","East Champaran","845401","osdadmin@mgcub.ac.in","Government","Not Available","Not Available","Active"
"16300            		  View Course","University of Mysore","Not Available","Karnataka","Mysore","570006","registrar@uni-mysore.ac.in","Government","Not Available","Not Available","Active"
"16302            		  View Course","Bangalore University","Not Available","Karnataka","Bangalore","560056","vc@bub.ernet.in","Government","NAAC","2021-11-04","Active"
"16306            		  View Course","Karnataka State Law University","Not Available","Karnataka","Dharwad","58002","regevakslu@gmail.com","Government","NAAC","2021-11-04","Active"
"16307            		  View Course","Kuvempu University","Not Available","Karnataka","Shimoga","577451","kureg14@gmail.com","Government","Not Available","Not Available","Active"
"16310            		  View Course","National Law School of India University","National Law School of India University","Karnataka","Bangalore","560072","registrar@nls.ac.in","Government","NAAC","2023-09-25","Active"
"16312            		  View Course","Cochin University of Science and Technology","COCHIN UNIVERSITY OF SCIENCE AND TECHNOLOGY","Kerala","Ernakulam","682022","registrar@cusat.ac.in","Government","Not Available","Not Available","Active"
"16313            		  View Course","Mahatma Gandhi University","Not Available","Kerala","Kottayam","686560","","Government","Not Available","Not Available","Active"
"16314            		  View Course","University of Calicut","Not Available","Kerala","Malappuram","673635","jce2@universityofcalicut.info","Government","Not Available","Not Available","Active"
"16315            		  View Course","Andhra University","Not Available","Andhra Pradesh","Visakhapatnam","530003","enquiry@andhrauniversity.edu.in","Government","NAAC","2023-02-18","Active"
"16318            		  View Course","Acharya Nagarjuna University","Not Available","Andhra Pradesh","Guntur","522510","registraranu@yahoo.co.in","Government","NAAC","2021-12-15","Active"
"16319            		  View Course","Gandhi Institute of Technology and Management","Deemed to be University","Andhra Pradesh","Visakhapatnam","530045","registrar@gitam.edu.in","Deemed","NAAC A++","2028-02-27","Active"
"16320            		  View Course","Sri Padmavati Mahila Visvavidyalayam","Not Available","Andhra Pradesh","Tirupati","517502","dec.spmvv@gmail.com","Government","NAAC","2021-09-15","Active"
"16321            		  View Course","Sri Venkateswara University","Not Available","Andhra Pradesh","Tirupati","517502","vcsvu@yahoo.com","Government","NAAC","2022-06-08","Active"
